Results Evaluation
1230.0
1170.0
1645.0
1835.0
2270.0
1235.0
1175.0
1890.0
1785.0
2460.0
2465.0
2345.0
600.0
1715.0
1205.0
1205.0
1945.0
1430.0
2325.0
1700.0
1800.0
2465.0
1400.0
2635.0
1360.0
1240.0
1775.0
1375.0
2640.0
1830.0
