Results Evaluation
1860.0
1835.0
605.0
1170.0
2195.0
1130.0
2170.0
2275.0
1910.0
1170.0
1200.0
1865.0
2510.0
2095.0
2025.0
2350.0
2635.0
1170.0
2280.0
2015.0
1815.0
2095.0
1605.0
1865.0
1830.0
1230.0
2490.0
1205.0
1200.0
1180.0
