Results Evaluation
1650.0
1150.0
1430.0
1505.0
1235.0
1760.0
1230.0
1200.0
1200.0
1175.0
1535.0
1405.0
835.0
1095.0
1710.0
1430.0
800.0
1230.0
1175.0
1375.0
1205.0
600.0
1430.0
1230.0
810.0
1405.0
1385.0
1435.0
1040.0
1550.0
