Results Evaluation
2405.0
2010.0
1830.0
1205.0
1735.0
2035.0
1205.0
2115.0
2150.0
1230.0
2060.0
1430.0
1230.0
600.0
1405.0
1805.0
1600.0
1965.0
1370.0
1860.0
1200.0
1830.0
1090.0
1175.0
1605.0
1400.0
1145.0
1805.0
1175.0
1860.0
