Results Evaluation
15.0
18.0
17.0
15.0
14.0
18.0
18.0
18.0
12.0
17.0
17.0
17.0
20.0
15.0
19.0
17.0
17.0
18.0
16.0
17.0
21.0
15.0
18.0
15.0
16.0
17.0
18.0
21.0
15.0
15.0
